,state,year,"Carter, Jimmy","Ford, Gerald","Macbride, Roger","McCarthy, Eugene """"Gene""""","Anderson, Thomas J.",totalvotes,ECvotes
0,AL,1976,659170,504070,,,,1182850,9
1,AK,1976,44058,71555,6785,,,123574,3
2,AZ,1976,295602,418642,,19229,,742719,8
3,AR,1976,498604,267903,,,,767535,6
4,CA,1976,3742284,3882244,,,,7803770,54
5,CO,1976,460801,584278,,26047,,1081440,8
6,CT,1976,647895,719261,,,,1386355,8
7,DE,1976,122461,109780,,,,235642,3
8,DC,1976,137818,27873,,,,168830,3
9,FL,1976,1636000,1469531,,,,3150631,25
10,GA,1976,979409,483743,,,,1463152,13
11,HI,1976,147375,140003,,,,291301,4
12,ID,1976,126549,204151,,,,340932,4
13,IL,1976,2271295,2364269,,,,4721282,22
14,IN,1976,1014714,1183958,,,,2220362,12
15,IA,1976,619931,632864,,,,1279303,7
16,KS,1976,430421,502752,,,,957845,6
17,KY,1976,615717,531852,,,,1167142,8
18,LA,1976,661365,587446,,,,1277383,9
19,ME,1976,232279,236320,,10874,,482968,4
20,MD,1976,759612,672661,,,,1432273,10
21,MA,1976,1429475,1030276,,65637,,2547558,12
22,MI,1976,1696714,1893742,,,,3651590,18
23,MN,1976,1070440,819395,,35490,,1949931,10
24,MS,1976,381329,366846,,,,768390,7
25,MO,1976,998387,927443,,,,1953600,11
26,MT,1976,149259,173703,,,,328734,3
27,NE,1976,233293,359219,,,,606749,5
28,NV,1976,92479,101273,,,,201876,4
29,NH,1976,147645,185935,,,,339627,4
30,NJ,1976,1444653,1509688,,,,3014472,15
31,NM,1976,201148,211419,,,,416590,5
32,NY,1976,3389558,3100791,,,,6668262,33
33,NC,1976,927365,741960,,,,1677906,14
34,ND,1976,136078,153684,,,,297308,3
35,OH,1976,2009959,2000626,,,,4110456,21
36,OK,1976,532442,545708,,,,1092251,8
37,OR,1976,490407,492120,,40207,,1029876,7
38,PA,1976,2328677,2205604,,,,4620787,23
39,RI,1976,227636,181249,,,,410584,4
40,SC,1976,450807,346149,,,,802583,8
41,SD,1976,147068,151505,,,,300678,3
42,TN,1976,825879,633969,,,,1476346,11
43,TX,1976,2082319,1953300,,,,4071884,32
44,UT,1976,182110,337908,,,13304,541218,5
45,VT,1976,77798,100387,,4001,,183902,3
46,VA,1976,813896,836554,,,,1697094,13
47,WA,1976,717323,777732,,36986,,1555534,11
48,WV,1976,435864,314726,,,,750590,5
49,WI,1976,1040232,1004987,,,,2101336,11
50,WY,1976,62239,92717,,,,156343,3
