,state,year,"Reagan, Ronald","Carter, Jimmy","Clark, Edward """"Ed""""","Anderson, John B.",totalvotes,ECvotes
0,AL,1980,654192,636730,,,1341929,9
1,AK,1980,86112,41842,18479,11155,158445,3
2,AZ,1980,529688,246843,18784,76952,873945,8
3,AR,1980,403164,398041,,22468,837582,6
4,CA,1980,4522994,3082943,,739618,8582938,54
5,CO,1980,652264,368009,25744,130633,1184450,8
6,CT,1980,677210,541732,,171807,1406285,8
7,DE,1980,111252,105754,,16288,235668,3
8,DC,1980,23313,130231,,16131,173889,3
9,FL,1980,2046951,1419475,,189692,3686927,25
10,GA,1980,654168,890955,,36055,1596805,13
11,HI,1980,130112,135879,,32021,303287,4
12,ID,1980,290699,110192,8425,27058,437431,4
13,IL,1980,2358049,1981413,,346754,4749721,22
14,IN,1980,1255656,844197,,111639,2242033,12
15,IA,1980,676026,508672,,115633,1317661,7
16,KS,1980,566812,326150,,68231,979795,6
17,KY,1980,635274,617417,,31127,1295627,8
18,LA,1980,792853,708453,,,1548591,9
19,ME,1980,238522,220974,,53327,523011,4
20,MD,1980,680606,726161,,119537,1540496,10
21,MA,1980,1057631,1053802,,382539,2524090,12
22,MI,1980,1915225,1661532,,275223,3909725,18
23,MN,1980,873268,954173,,174997,2051916,10
24,MS,1980,441089,429281,,,891750,7
25,MO,1980,1074181,931182,,77920,2099824,11
26,MT,1980,206814,118032,9825,29281,363952,3
27,NE,1980,419214,166424,,44854,639533,5
28,NV,1980,155017,66666,,17651,243692,4
29,NH,1980,221705,108864,,49693,383990,4
30,NJ,1980,1546557,1147364,,234632,2975684,15
31,NM,1980,250779,167826,,29459,456237,5
32,NY,1980,2893831,2728372,,467801,6201959,33
33,NC,1980,915018,875635,,52800,1855833,14
34,ND,1980,193695,79189,,23640,301116,3
35,OH,1980,2206545,1752414,,254472,4283603,21
36,OK,1980,695570,402026,,38284,1149708,8
37,OR,1980,571044,456890,25838,112389,1181516,7
38,PA,1980,2261872,1937540,,292921,4561501,23
39,RI,1980,154793,198342,,59819,415967,4
40,SC,1980,439277,428220,,,888258,8
41,SD,1980,198343,103855,,21431,327703,3
42,TN,1980,787761,783051,,35991,1617616,11
43,TX,1980,2510705,1881147,,111613,4541636,32
44,UT,1980,439687,124266,,30284,604152,5
45,VT,1980,94628,81952,,31761,213299,3
46,VA,1980,989609,752174,,95418,1866032,13
47,WA,1980,865244,650193,,185073,1742394,11
48,WV,1980,334206,367462,,31691,737715,5
49,WI,1980,1088845,981584,,160657,2273221,11
50,WY,1980,110700,49427,4514,12072,176713,3
