,state,year,"Reagan, Ronald","Mondale, Walter","Bergland, David",totalvotes,ECvotes
0,AL,1984,872849,551899,,1441713,9
1,AK,1984,138377,62007,6378,207605,3
2,AZ,1984,681416,333854,,1025897,8
3,AR,1984,534774,338646,,884406,6
4,CA,1984,5467009,3922519,,9505041,54
5,CO,1984,821817,454975,,1295380,8
6,CT,1984,890877,569597,,1466900,8
7,DE,1984,152190,101656,,254572,3
8,DC,1984,29009,180408,,211288,3
9,FL,1984,2730350,1448816,,4180051,25
10,GA,1984,1068722,706628,,1776103,13
11,HI,1984,185050,147154,,335846,4
12,ID,1984,297523,108510,,411144,4
13,IL,1984,2707103,2086499,,4819088,22
14,IN,1984,1377230,841481,,2233069,12
15,IA,1984,703088,605620,,1319805,7
16,KS,1984,677296,333149,,1021991,6
17,KY,1984,821702,539539,,1369345,8
18,LA,1984,1037299,651586,,1706822,9
19,ME,1984,336500,214515,,553144,4
20,MD,1984,879918,787935,,1675873,10
21,MA,1984,1310936,1239606,,2559383,12
22,MI,1984,2251571,1529638,,3801658,18
23,MN,1984,1032603,1036364,,2084449,10
24,MS,1984,582377,352192,,941104,7
25,MO,1984,1274188,848583,,2122771,11
26,MT,1984,232450,146742,,384377,3
27,NE,1984,460054,187866,,652090,5
28,NV,1984,188770,91655,,282717,4
29,NH,1984,267050,120347,,388904,4
30,NJ,1984,1933630,1261323,,3217862,15
31,NM,1984,307101,201769,,514370,5
32,NY,1984,3664763,3001285,,6806810,33
33,NC,1984,1346481,824287,,2175361,14
34,ND,1984,200336,104429,,308971,3
35,OH,1984,2678559,1825440,,4563235,21
36,OK,1984,861530,385080,,1255676,8
37,OR,1984,685700,536479,,1226527,7
38,PA,1984,2584323,2228131,,4844903,23
39,RI,1984,212080,197106,,410489,4
40,SC,1984,615539,344459,,968529,8
41,SD,1984,200267,116113,,317867,3
42,TN,1984,990212,711714,,1711993,11
43,TX,1984,3433428,1949276,,5397571,32
44,UT,1984,469105,155369,,629656,5
45,VT,1984,135865,95730,,234561,3
46,VA,1984,1337078,796250,,2146635,13
47,WA,1984,1051670,798352,,1874910,11
48,WV,1984,405483,328125,,735742,5
49,WI,1984,1198584,995740,,2211689,11
50,WY,1984,133241,53370,,188968,3
