,state,year,"Bush, George H.W.","Dukakis, Michael","Paul, Ronald """"Ron""""",totalvotes,ECvotes
0,AL,1988,815576,549506,,1378476,9
1,AK,1988,119251,72584,5484,200116,3
2,AZ,1988,702541,454029,,1171873,8
3,AR,1988,466578,349237,,827738,6
4,CA,1988,5054917,4702233,,9887065,54
5,CO,1988,728177,621453,,1372394,8
6,CT,1988,750241,676584,,1443394,8
7,DE,1988,139639,108647,,249891,3
8,DC,1988,27590,159407,,192877,3
9,FL,1988,2618885,1656701,,4302313,25
10,GA,1988,1081331,714792,,1809672,13
11,HI,1988,158625,192364,,354461,4
12,ID,1988,253881,147272,,408968,4
13,IL,1988,2310939,2215940,,4559120,22
14,IN,1988,1297763,860643,,2168621,12
15,IA,1988,545355,670557,,1225614,7
16,KS,1988,554049,422636,,993044,6
17,KY,1988,734281,580368,,1322517,8
18,LA,1988,883702,717460,,1628202,9
19,ME,1988,307131,243569,,555035,4
20,MD,1988,876167,826304,,1714358,10
21,MA,1988,1194635,1401415,,2632801,12
22,MI,1988,1965486,1675783,,3669163,18
23,MN,1988,962337,1109471,,2096790,10
24,MS,1988,557890,363921,,931527,7
25,MO,1988,1084953,1001619,,2093228,11
26,MT,1988,190412,168936,,365674,3
27,NE,1988,397956,259235,,661465,5
28,NV,1988,206040,132738,,343133,4
29,NH,1988,281537,163696,,450525,4
30,NJ,1988,1743192,1320352,,3099553,15
31,NM,1988,270341,244497,,521387,5
32,NY,1988,3081871,3255487,,6485683,33
33,NC,1988,1237258,890167,,2134370,14
34,ND,1988,166559,127739,,297261,3
35,OH,1988,2416549,1939629,,4393585,21
36,OK,1988,678367,483423,,1171036,8
37,OR,1988,560126,616206,,1201694,7
38,PA,1988,2300087,2194944,,4536251,23
39,RI,1988,177761,225123,,404622,4
40,SC,1988,606443,370554,,986009,8
41,SD,1988,165415,145560,,312991,3
42,TN,1988,947233,679794,,1636250,11
43,TX,1988,3036829,2352748,,5427410,32
44,UT,1988,428442,207343,,647008,5
45,VT,1988,124331,115775,,243328,3
46,VA,1988,1309162,859799,,2191609,13
47,WA,1988,903835,933516,,1865253,11
48,WV,1988,310065,341016,,653311,5
49,WI,1988,1047499,1126794,,2191608,11
50,WY,1988,106867,67113,,176551,3
