,state,year,"Bush, George H.W.","Clinton, Bill","Perot, Ross","Gritz, James """"Bo""""",totalvotes,ECvotes
0,AL,1992,804283,690080,183109,,1688060,9
1,AK,1992,102000,78294,73481,,258506,3
2,AZ,1992,572086,543050,353741,,1486975,8
3,AR,1992,337324,505823,99132,,950653,6
4,CA,1992,3630574,5121325,2296006,,11131721,54
5,CO,1992,562850,629681,366010,,1569180,8
6,CT,1992,578313,682318,348771,,1616156,8
7,DE,1992,102313,126054,59213,,289620,3
8,DC,1992,20698,192619,9681,,227572,3
9,FL,1992,2173310,2071698,1053067,,5313392,25
10,GA,1992,995252,1008966,309657,,2321133,13
11,HI,1992,136822,179310,53003,,372842,4
12,ID,1992,202645,137013,130395,10894,482114,4
13,IL,1992,1734096,2453350,840515,,5050157,22
14,IN,1992,989375,848420,455934,,2305871,12
15,IA,1992,504891,586353,253468,,1354607,7
16,KS,1992,449951,390434,312358,,1157236,6
17,KY,1992,617178,665104,203944,,1492900,8
18,LA,1992,733386,815971,211478,,1790017,9
19,ME,1992,206504,263420,206820,,679499,4
20,MD,1992,707094,988571,281414,,1984580,10
21,MA,1992,805039,1318639,630731,,2773664,12
22,MI,1992,1554940,1871182,824813,,4274673,18
23,MN,1992,747841,1020997,562506,,2347948,10
24,MS,1992,487793,400258,85626,,981793,7
25,MO,1992,811159,1053873,518741,,2391270,11
26,MT,1992,144207,154507,107225,,410583,3
27,NE,1992,343678,216864,174104,,737546,5
28,NV,1992,175828,189148,132580,,506318,4
29,NH,1992,202484,209040,121337,,537215,4
30,NJ,1992,1356865,1436206,521829,,3343594,15
31,NM,1992,212824,261617,91895,,569986,5
32,NY,1992,2346649,3346894,1090721,,7079432,33
33,NC,1992,1134661,1114042,357864,,2611850,14
34,ND,1992,136244,99168,71084,,308133,3
35,OH,1992,1894310,1984942,1036426,,4939967,21
36,OK,1992,592929,473066,319878,,1390359,8
37,OR,1992,475757,621314,354091,,1462643,7
38,PA,1992,1791841,2239164,902667,,4959810,23
39,RI,1992,131601,213299,105045,,453365,4
40,SC,1992,577507,525514,119257,,1228912,8
41,SD,1992,136718,124888,73295,,336254,3
42,TN,1992,841300,933521,199968,,1982638,11
43,TX,1992,2496071,2281815,1354781,,6154018,32
44,UT,1992,322632,183429,203400,28602,743998,5
45,VT,1992,88122,133592,65991,,289701,3
46,VA,1992,1150517,1038650,348639,,2559129,13
47,WA,1992,731234,993037,541780,,2287565,11
48,WV,1992,241974,331001,108829,,683677,5
49,WI,1992,930855,1041066,544479,,2531064,11
50,WY,1992,79347,68160,51263,,199884,3
