,state,year,"Dole, Robert","Clinton, Bill","Perot, Ross","Nader, Ralph",totalvotes,ECvotes
0,AL,1996,769044,662165,92149,,1534349,9
1,AK,1996,122746,80380,26333,7597,241620,3
2,AZ,1996,622073,653288,112072,,1404405,8
3,AR,1996,325416,475171,69884,,884262,6
4,CA,1996,3828381,5119835,697847,237016,10019469,54
5,CO,1996,691848,671152,99629,,1510702,8
6,CT,1996,483109,735740,139523,,1392614,8
7,DE,1996,99062,140355,28719,,270810,3
8,DC,1996,17339,158220,3611,4780,185726,3
9,FL,1996,2244536,2546870,483870,,5303154,25
10,GA,1996,1080843,1053849,146337,,2298899,13
11,HI,1996,113943,205012,27358,10386,360120,4
12,ID,1996,256595,165443,62518,,491711,4
13,IL,1996,1587021,2341744,346408,,4311391,22
14,IN,1996,1006693,887424,224299,,2135431,12
15,IA,1996,492644,620258,105159,,1234075,7
16,KS,1996,583245,387659,92639,,1074300,6
17,KY,1996,623283,636614,120396,,1388708,8
18,LA,1996,712586,927837,123293,,1783959,9
19,ME,1996,186378,312788,85970,15279,605897,4
20,MD,1996,681530,966207,115812,,1780870,10
21,MA,1996,718058,1571509,227206,,2556459,12
22,MI,1996,1481212,1989653,336670,,3848844,18
23,MN,1996,766395,1120380,257698,,2192492,10
24,MS,1996,439838,394022,52222,,893857,7
25,MO,1996,890016,1025935,217188,,2158065,11
26,MT,1996,179652,167922,55229,,407083,3
27,NE,1996,363467,236761,71278,,677415,5
28,NV,1996,199244,203974,43986,,464279,4
29,NH,1996,196486,246166,48387,,496597,4
30,NJ,1996,1103099,1652361,262134,,3075860,15
31,NM,1996,232751,273495,32257,13218,556074,5
32,NY,1996,1922099,3649630,503458,,6439129,33
33,NC,1996,1225938,1107849,168059,,2515807,14
34,ND,1996,125050,106905,32515,,266411,3
35,OH,1996,1859883,2148222,483207,,4534434,21
36,OK,1996,582315,488105,130788,,1206713,8
37,OR,1996,538152,649641,121221,49415,1377760,7
38,PA,1996,1801169,2215819,430984,,4501307,23
39,RI,1996,104683,233050,43723,,390247,4
40,SC,1996,573339,506152,64377,,1150182,8
41,SD,1996,150543,139333,31250,,323826,3
42,TN,1996,863530,909146,105918,,1894105,11
43,TX,1996,2736167,2459683,378537,,5611644,32
44,UT,1996,361911,221633,66461,,665629,5
45,VT,1996,80352,137894,31024,5585,258449,3
46,VA,1996,1138350,1091060,159861,,2416642,13
47,WA,1996,840712,1123323,201003,60322,2253837,11
48,WV,1996,233946,327812,71639,,636459,5
49,WI,1996,845029,1071971,227339,,2196169,11
50,WY,1996,105388,77934,25928,,211571,3
