,state,year,"Bush, George W.","Gore, Al","Nader, Ralph","Buchanan, Patrick """"Pat""""",totalvotes,ECvotes
0,AL,2000,941173,692611,,,1666272,9
1,AK,2000,167398,79004,28747,5192,285560,3
2,AZ,2000,781652,685341,45645,,1532016,8
3,AR,2000,472940,422768,,,921781,6
4,CA,2000,4567429,5861203,418707,,10965822,54
5,CO,2000,883748,738227,91434,,1741368,8
6,CT,2000,561094,816015,64452,,1459525,8
7,DE,2000,137288,180068,8307,,327529,3
8,DC,2000,18073,171923,10576,,201894,3
9,FL,2000,2912790,2912253,,,5963110,25
10,GA,2000,1419720,1116230,,,2583208,13
11,HI,2000,137845,205286,21623,,367951,4
12,ID,2000,336937,138637,12292,,501615,4
13,IL,2000,2019421,2589026,103759,,4742108,22
14,IN,2000,1245836,901980,,,2199302,12
15,IA,2000,634373,638517,29374,,1353022,7
16,KS,2000,622332,399276,36086,,1072216,6
17,KY,2000,872520,638923,,,1544106,8
18,LA,2000,927871,792344,,,1765656,9
19,ME,2000,286616,319951,37127,,651817,4
20,MD,2000,813827,1144008,53768,,2025212,10
21,MA,2000,878502,1616487,173564,,2733964,12
22,MI,2000,1953139,2170418,84165,,4232501,18
23,MN,2000,1109659,1168266,126696,,2438685,10
24,MS,2000,572844,404614,,,994184,7
25,MO,2000,1189924,1111138,,,2359892,11
26,MT,2000,240178,137126,24437,,410986,3
27,NE,2000,433862,231780,24540,,697019,5
28,NV,2000,301575,279978,15008,,609426,4
29,NH,2000,273559,266348,22198,,569081,4
30,NJ,2000,1284173,1788850,94554,,3187226,15
31,NM,2000,286417,286783,21251,,598605,5
32,NY,2000,2403374,3942215,244030,,6960215,33
33,NC,2000,1631163,1257692,,,2914990,14
34,ND,2000,174852,95284,9497,7288,288256,3
35,OH,2000,2350363,2183628,117857,,4701998,21
36,OK,2000,744337,474276,,,1234229,8
37,OR,2000,713577,720342,77357,,1533950,7
38,PA,2000,2281127,2485967,103392,,4912185,23
39,RI,2000,130555,249508,25052,,409112,4
40,SC,2000,786892,566037,,,1383902,8
41,SD,2000,190700,118804,,,316269,3
42,TN,2000,1061949,981720,,,2076181,11
43,TX,2000,3799639,2433746,137994,,6407637,32
44,UT,2000,515096,203053,35850,,770754,5
45,VT,2000,119775,149022,20374,,294308,3
46,VA,2000,1437490,1217290,59398,,2739447,13
47,WA,2000,1108864,1247652,103002,,2487433,11
48,WV,2000,336475,295497,,,648124,5
49,WI,2000,1237279,1242987,94070,,2598607,11
50,WY,2000,147947,60481,,,213726,3
