,state,year,"Bush, George W.","Kerry, John",totalvotes,ECvotes
0,AL,2004,1176394,693933,1883415,9
1,AK,2004,190889,111025,312598,3
2,AZ,2004,1104294,893524,2012585,10
3,AR,2004,572898,469953,1054945,6
4,CA,2004,5509826,6745485,12421353,55
5,CO,2004,1101255,1001732,2129630,9
6,CT,2004,693826,857488,1578769,7
7,DE,2004,171660,200152,375190,3
8,DC,2004,21256,202970,227586,3
9,FL,2004,3964522,3583544,7609810,27
10,GA,2004,1914254,1366149,3301875,15
11,HI,2004,194191,231708,429013,4
12,ID,2004,409235,181098,598376,4
13,IL,2004,2345946,2891550,5274322,21
14,IN,2004,1479438,969011,2468002,11
15,IA,2004,751957,741898,1506908,7
16,KS,2004,736456,434993,1187756,6
17,KY,2004,1069439,712733,1795882,8
18,LA,2004,1102169,820299,1943106,9
19,ME,2004,330201,396842,740752,4
20,MD,2004,1024703,1334493,2384238,10
21,MA,2004,1071109,1803800,2927455,12
22,MI,2004,2313746,2479183,4839252,17
23,MN,2004,1346695,1445014,2828387,10
24,MS,2004,672660,457766,1139824,6
25,MO,2004,1455713,1259171,2731364,11
26,MT,2004,266063,173710,450434,3
27,NE,2004,512814,254328,778186,5
28,NV,2004,418690,397190,829587,5
29,NH,2004,331237,340511,678287,4
30,NJ,2004,1670003,1911430,3611691,15
31,NM,2004,376930,370942,756304,5
32,NY,2004,2962567,4180755,7448266,31
33,NC,2004,1961166,1525849,3501007,15
34,ND,2004,196651,111052,312833,3
35,OH,2004,2859764,2741165,5627903,20
36,OK,2004,959792,503966,1463758,7
37,OR,2004,866831,943163,1836782,7
38,PA,2004,2793847,2938095,5769590,21
39,RI,2004,169046,259760,437134,4
40,SC,2004,937974,661669,1617700,8
41,SD,2004,232584,149244,388215,3
42,TN,2004,1384375,1036477,2437319,11
43,TX,2004,4526917,2832704,7410749,34
44,UT,2004,663742,241199,927844,5
45,VT,2004,121180,184067,312309,3
46,VA,2004,1716959,1454742,3195415,13
47,WA,2004,1304894,1510201,2859084,11
48,WV,2004,423778,326541,755792,5
49,WI,2004,1478120,1489504,2997007,10
50,WY,2004,167629,70776,243861,3
