,state,year,"McCain, John","Obama, Barack H.","Paul, Ronald """"Ron""""",totalvotes,ECvotes
0,AL,2008,1266546,813479,,2099819,9
1,AK,2008,193841,123594,,326197,3
2,AZ,2008,1230111,1034707,,2293475,10
3,AR,2008,638017,422310,,1086617,6
4,CA,2008,5011781,8274473,,13561900,55
5,CO,2008,1073589,1288576,,2401361,9
6,CT,2008,629428,997772,,1646792,7
7,DE,2008,152374,255459,,412412,3
8,DC,2008,17367,245800,,265853,3
9,FL,2008,4045624,4282074,,8390744,27
10,GA,2008,2048759,1844123,,3924486,15
11,HI,2008,120566,325871,,456064,4
12,ID,2008,403012,236440,,655122,4
13,IL,2008,2031179,3419348,,5522371,21
14,IN,2008,1345648,1374039,,2751054,11
15,IA,2008,682379,828940,,1537123,7
16,KS,2008,699655,514765,,1235872,6
17,KY,2008,1048462,751985,,1826620,8
18,LA,2008,1148275,782989,,1960761,9
19,ME,2008,295273,421923,,731163,4
20,MD,2008,959862,1629467,,2631596,10
21,MA,2008,1108854,1904097,,3102995,12
22,MI,2008,2048639,2872579,,5001596,17
23,MN,2008,1275409,1573354,,2910369,10
24,MS,2008,724597,554662,,1289865,6
25,MO,2008,1445814,1441911,,2925205,11
26,MT,2008,242763,231667,10638,490109,3
27,NE,2008,452979,333319,,801281,5
28,NV,2008,412827,533736,,967848,5
29,NH,2008,316534,384826,,710970,4
30,NJ,2008,1613207,2215422,,3868237,15
31,NM,2008,346832,472422,,830158,5
32,NY,2008,2752771,4804945,,7722019,31
33,NC,2008,2128474,2142651,,4310851,15
34,ND,2008,168601,141278,,316621,3
35,OH,2008,2677820,2940044,,5708350,20
36,OK,2008,960165,502496,,1462661,7
37,OR,2008,738475,1037291,,1827864,7
38,PA,2008,2655885,3276363,,6013272,21
39,RI,2008,165391,296571,,471766,4
40,SC,2008,1034896,862449,,1920969,8
41,SD,2008,203054,170924,,381975,3
42,TN,2008,1479178,1087437,,2599749,11
43,TX,2008,4479328,3528633,,8077795,34
44,UT,2008,596030,327670,,952370,5
45,VT,2008,98974,219262,,325046,3
46,VA,2008,1725005,1959532,,3723260,13
47,WA,2008,1229216,1750848,,3036878,11
48,WV,2008,397466,303857,,713451,5
49,WI,2008,1262393,1677211,,2983417,10
50,WY,2008,164958,82868,,254904,3
