,state,year,"Romney, Mitt","Obama, Barack H.","Johnson, Gary",totalvotes,ECvotes
0,AL,2012,1255925,795696,,2074338,9
1,AK,2012,164676,122640,7392,300495,3
2,AZ,2012,1233654,1025232,,2299254,11
3,AR,2012,647744,394409,,1069468,6
4,CA,2012,4839958,7854285,,13038547,55
5,CO,2012,1185243,1323101,,2569516,9
6,CT,2012,634892,905083,,1558204,7
7,DE,2012,165484,242584,,413890,3
8,DC,2012,21381,267070,,293764,3
9,FL,2012,4163447,4237756,,8474179,29
10,GA,2012,2078688,1773827,,3897839,16
11,HI,2012,121015,306658,,437159,4
12,ID,2012,420911,212787,,652274,4
13,IL,2012,2135216,3019512,,5242014,20
14,IN,2012,1420543,1152887,50111,2624534,11
15,IA,2012,730617,822544,,1582180,6
16,KS,2012,692634,440726,,1159971,6
17,KY,2012,1087190,679370,,1797212,8
18,LA,2012,1152262,809141,,1994065,8
19,ME,2012,292276,401306,,724758,4
20,MD,2012,971869,1677844,,2707327,10
21,MA,2012,1188314,1921290,,3184196,11
22,MI,2012,2115256,2564569,,4730961,16
23,MN,2012,1320225,1546167,,2936561,10
24,MS,2012,710746,562949,,1285584,6
25,MO,2012,1482440,1223796,,2757323,10
26,MT,2012,267928,201839,14165,484048,3
27,NE,2012,475064,302081,,794379,5
28,NV,2012,463567,531373,,1014918,6
29,NH,2012,329918,369561,,710972,4
30,NJ,2012,1478088,2122786,,3638499,14
31,NM,2012,335788,415335,27788,783758,5
32,NY,2012,2485432,4471871,,7116784,29
33,NC,2012,2270395,2178391,,4505372,15
34,ND,2012,188320,124966,,322932,3
35,OH,2012,2661407,2827621,,5580822,18
36,OK,2012,891325,443547,,1334872,7
37,OR,2012,754175,970488,,1789270,7
38,PA,2012,2680434,2990274,,5742040,20
39,RI,2012,157204,279677,,446049,4
40,SC,2012,1071645,865941,,1964118,9
41,SD,2012,210610,145039,,363815,3
42,TN,2012,1462330,960709,,2458577,11
43,TX,2012,4569843,3308124,,7993851,38
44,UT,2012,740600,251813,,1017440,6
45,VT,2012,92698,199239,,299290,3
46,VA,2012,1822522,1971820,,3854489,13
47,WA,2012,1290670,1755396,,3125516,12
48,WV,2012,417655,238269,,670438,5
49,WI,2012,1410966,1620985,,3071434,10
50,WY,2012,170962,69286,5326,250701,3
