,state,year,"Trump, Donald J.","Clinton, Hillary","Johnson, Gary","Stein, Jill","McMullin, Evan",None Of The Above,"Sanders, Bernie",totalvotes,ECvotes
0,AL,2016,1318255,729547,44467,,,,,2123372,9
1,AK,2016,163387,116454,18725,5735,,,,318608,3
2,AZ,2016,1252401,1161167,106327,,,,,2573165,11
3,AR,2016,684872,380494,29829,,,,,1130635,6
4,CA,2016,4483810,8753788,478500,278657,,,,14181595,55
5,CO,2016,1202484,1338870,144121,,,,,2780220,9
6,CT,2016,673215,897572,48676,,,,,1644920,7
7,DE,2016,185127,235603,14757,,,,,441590,3
8,DC,2016,12723,282830,,,,,,312575,3
9,FL,2016,4617886,4504975,207043,,,,,9420039,29
10,GA,2016,2089104,1877963,125306,,,,,4114732,16
11,HI,2016,128847,266891,15954,12737,,,,437664,4
12,ID,2016,409055,189765,28331,,60748,,,690255,4
13,IL,2016,2146015,3090729,209596,,,,,5536424,20
14,IN,2016,1557286,1033126,133993,,,,,2734958,11
15,IA,2016,800983,653669,59186,,,,,1565580,6
16,KS,2016,671018,427005,55406,23506,,,,1184402,6
17,KY,2016,1202971,628854,53752,,,,,1924149,8
18,LA,2016,1178638,780154,37978,,,,,2029032,8
19,ME,2016,335593,357735,38105,14251,,,,771892,4
20,MD,2016,943169,1677928,79605,,,,,2781446,10
21,MA,2016,1090893,1995196,138018,,,,,3378821,11
22,MI,2016,2279543,2268839,172136,,,,,4799284,16
23,MN,2016,1322949,1367705,112972,,53075,,,2944782,10
24,MS,2016,700714,485131,,,,,,1209357,6
25,MO,2016,1594511,1071068,97359,,,,,2808605,10
26,MT,2016,279240,177709,28037,,,,,494526,3
27,NE,2016,495961,284494,38946,,,,,844227,5
28,NV,2016,512058,539260,37384,,,28863,,1125385,6
29,NH,2016,345790,348526,30777,,,,,744296,4
30,NJ,2016,1601933,2148278,72477,,,,,3874046,14
31,NM,2016,319667,385234,74541,,,,,798319,5
32,NY,2016,2819534,4379789,,,,,,7802084,29
33,NC,2016,2362631,2189316,130126,,,,,4741564,15
34,ND,2016,216794,93758,21434,,,,,344360,3
35,OH,2016,2841005,2394164,174498,,,,,5496487,18
36,OK,2016,949136,420375,83481,,,,,1452992,7
37,OR,2016,782403,1002106,94231,50002,,,,2001336,7
38,PA,2016,2970733,2926441,146715,,,,,6115402,20
39,RI,2016,180543,252525,14746,,,,,464144,4
40,SC,2016,1155389,855373,49204,,,,,2103027,9
41,SD,2016,227721,117458,20850,,,,,370093,3
42,TN,2016,1522925,870695,70397,,,,,2508027,11
43,TX,2016,4685047,3877868,283492,,,,,8969226,38
44,UT,2016,515211,310674,39608,,255060,,,1131317,6
45,VT,2016,95369,178573,10078,6758,,,18218,320467,3
46,VA,2016,1769443,1981473,118274,,,,,3982752,13
47,WA,2016,1221747,1742718,160879,,,,,3317019,12
48,WV,2016,489371,188794,23004,,,,,713051,5
49,WI,2016,1405284,1382536,106674,,,,,2976150,10
50,WY,2016,174419,55973,13287,,,,,258788,3
